time,close,open,low,high
2011-03-01 09:31:00,43.995584525,43.995584525,43.995584525,43.995584525
2011-03-01 09:32:00,44.001937678,44.001937678,44.001937678,44.001937678
2011-03-01 09:33:00,44.001937678,44.001937678,44.001937678,44.001937678
2011-03-01 09:34:00,44.001937678,44.001937678,44.001937678,44.001937678
2011-03-01 09:35:00,44.033703443,44.001937678,44.001937678,44.033703443
2011-03-01 09:36:00,44.033703443,44.001937678,44.001937678,44.033703443
2011-03-01 09:37:00,44.033703443,44.001937678,44.001937678,44.033703443
2011-03-01 09:38:00,44.033703443,44.001937678,44.001937678,44.033703443
2011-03-01 09:39:00,44.008290831,44.020997137,44.008290831,44.020997137
2011-03-01 09:40:00,44.008290831,44.020997137,44.008290831,44.020997137
2011-03-01 09:41:00,44.008290831,44.020997137,44.008290831,44.020997137
2011-03-01 09:42:00,44.008290831,44.020997137,44.008290831,44.020997137
2011-03-01 09:43:00,44.052762902,44.052762902,44.052762902,44.052762902
2011-03-01 09:44:00,44.040056596,44.040056596,44.040056596,44.040056596
2011-03-01 09:45:00,44.040056596,44.040056596,44.040056596,44.040056596
2011-03-01 09:46:00,44.071822361,44.071822361,44.071822361,44.071822361
2011-03-01 09:47:00,44.065469208,44.065469208,44.065469208,44.065469208
2011-03-01 09:48:00,44.071822361,44.071822361,44.071822361,44.071822361
2011-03-01 09:49:00,44.071822361,44.071822361,44.071822361,44.071822361
2011-03-01 09:50:00,44.071822361,44.071822361,44.071822361,44.071822361
2011-03-01 09:51:00,44.071822361,44.071822361,44.071822361,44.071822361
2011-03-01 09:52:00,44.071822361,44.071822361,44.071822361,44.071822361
2011-03-01 09:53:00,44.071822361,44.071822361,44.071822361,44.071822361
2011-03-01 09:54:00,44.071822361,44.071822361,44.071822361,44.071822361
2011-03-01 09:55:00,44.109941279,44.109941279,44.109941279,44.109941279
2011-03-01 09:56:00,44.109941279,44.109941279,44.109941279,44.109941279
2011-03-01 09:57:00,44.109941279,44.109941279,44.109941279,44.109941279
2011-03-01 09:58:00,44.109941279,44.109941279,44.109941279,44.109941279
2011-03-01 09:59:00,44.109941279,44.109941279,44.109941279,44.109941279
2011-03-01 10:00:00,44.109941279,44.109941279,44.109941279,44.109941279
2011-03-01 10:01:00,44.109941279,44.109941279,44.109941279,44.109941279
2011-03-01 10:02:00,44.109941279,44.109941279,44.109941279,44.109941279
2011-03-01 10:03:00,44.160766503,44.160766503,44.160766503,44.160766503
2011-03-01 10:04:00,44.186179115,44.186179115,44.186179115,44.186179115
2011-03-01 10:05:00,44.186179115,44.186179115,44.186179115,44.186179115
2011-03-01 10:06:00,44.186179115,44.186179115,44.186179115,44.186179115
2011-03-01 10:07:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:08:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:09:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:10:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:11:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:12:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:13:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:14:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:15:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:16:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:17:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:18:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:19:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:20:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:21:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:22:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:23:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:24:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:25:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:26:00,44.09088182,44.09088182,44.09088182,44.09088182
2011-03-01 10:27:00,44.071822361,44.071822361,44.071822361,44.071822361
2011-03-01 10:28:00,44.071822361,44.071822361,44.071822361,44.071822361
2011-03-01 10:29:00,44.122647585,44.122647585,44.122647585,44.122647585
2011-03-01 10:30:00,44.122647585,44.122647585,44.122647585,44.122647585
2011-03-01 10:31:00,44.122647585,44.122647585,44.122647585,44.122647585
2011-03-01 10:32:00,44.122647585,44.122647585,44.122647585,44.122647585
2011-03-01 10:33:00,44.122647585,44.122647585,44.122647585,44.122647585
2011-03-01 10:34:00,44.122647585,44.122647585,44.122647585,44.122647585
2011-03-01 10:35:00,44.122647585,44.122647585,44.122647585,44.122647585
2011-03-01 10:36:00,44.122647585,44.122647585,44.122647585,44.122647585
